Image,LPIPS
000000,0.1412050575017929
000001,0.4088957905769348
000002,0.38856956362724304
000003,0.3439748287200928
000004,0.45744943618774414
000005,0.40433767437934875
000006,0.4051320552825928
000007,0.40029001235961914
000008,0.44975024461746216
000009,0.5598079562187195
000010,0.6115360260009766
000011,0.5225011110305786
000012,0.4393591284751892
000013,0.5816969275474548
000014,0.5410299301147461
000015,0.5449584722518921
000016,0.47698888182640076
000017,0.20359386503696442
000018,0.23588863015174866
000019,0.21628597378730774
000020,0.502065896987915
000021,0.5161901712417603
000022,0.49162566661834717
000023,0.4768050014972687
000024,0.4445760250091553
000025,0.25698888301849365
000026,0.2681466341018677
000027,0.2856796085834503
000028,0.5082385540008545
000029,0.40527865290641785
000030,0.38844719529151917
000031,0.40505972504615784
000032,0.5356695652008057
000033,0.3698878884315491
000034,0.3670147955417633
000035,0.37724530696868896
000036,0.6724525094032288
000037,0.3842169940471649
000038,0.43029651045799255
000039,0.3824510872364044
000040,0.47024503350257874
000041,0.20387154817581177
000042,0.2448086142539978
000043,0.20553135871887207
000044,0.2538909316062927
000045,0.326710045337677
000046,0.3129817843437195
000047,0.2996593415737152
000048,0.2974408268928528
000049,0.8403385877609253
000050,0.8318515419960022
000051,0.8442175984382629
000052,0.5190720558166504
000053,0.22604480385780334
000054,0.24667039513587952
000055,0.23891721665859222
000056,0.2350979894399643
000057,0.49007129669189453
000058,0.44476962089538574
000059,0.5090258121490479
000060,0.3799313008785248
000061,0.5414935946464539
000062,0.5556278228759766
000063,0.5788460969924927
000064,0.48548421263694763
000065,0.40844759345054626
000066,0.3773196339607239
000067,0.35139498114585876
000068,0.5094383358955383
000069,0.3108845055103302
000070,0.307503879070282
000071,0.29257863759994507
000072,0.22213998436927795
000073,0.21411702036857605
000074,0.2286631315946579
000075,0.24890819191932678
000076,0.40404802560806274
000077,0.3019292652606964
000078,0.4071076214313507
000079,0.3392193019390106
000080,0.5435923337936401
000081,0.3119502067565918
000082,0.306316077709198
000083,0.31411316990852356
000084,0.3921992778778076
000085,0.49863162636756897
000086,0.38653966784477234
000087,0.3947679400444031
000088,0.577100396156311
000089,0.5135583281517029
000090,0.45371389389038086
000091,0.47740933299064636
000092,0.3523126244544983
000093,0.26823022961616516
000094,0.26099681854248047
000095,0.2586936056613922
000096,0.3695898652076721
000097,0.3847736716270447
000098,0.40479132533073425
000099,0.39736178517341614
000100,0.3916584849357605
000101,0.5449197292327881
000102,0.6162234544754028
000103,0.5970310568809509
000104,0.4689702093601227
000105,0.41051119565963745
000106,0.3787320852279663
000107,0.3911600410938263
000108,0.3604671061038971
000109,0.1878775954246521
000110,0.17886027693748474
000111,0.17487318813800812
000112,0.3503986597061157
000113,0.48983606696128845
000114,0.517317533493042
000115,0.5929861664772034
000116,0.3763968348503113
000117,0.32726266980171204
000118,0.31040945649147034
000119,0.36070168018341064
000120,0.5548887848854065
000121,0.2754260003566742
000122,0.34655100107192993
000123,0.3228500485420227
000124,0.32163870334625244
000125,0.22268109023571014
000126,0.18385447561740875
000127,0.20720288157463074
000128,0.6619300842285156
000129,0.3096562623977661
000130,0.25905296206474304
000131,0.2408742606639862
000132,0.6188358068466187
000133,0.5198035836219788
000134,0.4426136016845703
000135,0.5375713109970093
000136,0.21154749393463135
000137,0.24650484323501587
