Image,PSNR,SSIM,MAE,MSE,Edge_Error,Edge_Preservation
000000,27.708435751229903,0.8367108378765574,0.02404049038887024,0.0016949481796473265,0.0499226413667202,0.9500773549079895
000001,25.965016036878584,0.613988519524809,0.03724725544452667,0.002532202284783125,0.09532030671834946,0.9046797156333923
000002,26.940143560053123,0.6590062867210508,0.03306925296783447,0.0020229523070156574,0.08191592246294022,0.9180840849876404
000003,28.10958042529224,0.7021547940813044,0.02903825044631958,0.001545403734780848,0.07677977532148361,0.9232202172279358
000004,19.956500109269328,0.5557098085546444,0.07215282320976257,0.010100665502250195,0.09901369363069534,0.9009863138198853
000005,26.624934542396595,0.6007094836566956,0.03469273820519447,0.0021752368193119764,0.05935976654291153,0.9406402111053467
000006,26.78507975836728,0.602857053539657,0.033908240497112274,0.0020964862778782845,0.054934702813625336,0.9450653195381165
000007,26.550906317214032,0.599694853100637,0.034703224897384644,0.0022126329131424427,0.05088011175394058,0.9491198658943176
000008,19.85293948521086,0.5790007502956163,0.07743646949529648,0.01034441776573658,0.11232444643974304,0.8876755237579346
000009,20.775502220198135,0.46894556074807336,0.06910745799541473,0.008364688605070114,0.12399376928806305,0.8760062456130981
000010,20.791388533721058,0.43591783701916265,0.0691857561469078,0.008334146812558174,0.11815346032381058,0.88184654712677
000011,21.46905943594463,0.5203707243164822,0.06336478143930435,0.007130074314773083,0.11078862845897675,0.8892113566398621
000012,26.417907350447088,0.6251577585148891,0.03325784206390381,0.002281441120430827,0.062234483659267426,0.9377655386924744
000013,19.224446513353183,0.23597135594798996,0.08336441218852997,0.011955158784985542,0.17078125476837158,0.8292187452316284
000014,20.141917468325513,0.2384773879465908,0.07549984008073807,0.009678504429757595,0.15251487493515015,0.8474851250648499
000015,19.96723868555832,0.283401650429124,0.0756445899605751,0.010075720958411694,0.1441371589899063,0.8558628559112549
000016,20.089503113849986,0.30417292855291544,0.07671862840652466,0.009796020574867725,0.13295131921768188,0.8670486807823181
000017,21.18534578303781,0.7141715553918294,0.0688784196972847,0.007611415348947048,0.12046070396900177,0.8795393109321594
000018,20.76932887073305,0.689998742884386,0.0726330429315567,0.008376587182283401,0.12657380104064941,0.8734261989593506
000019,21.02847338154479,0.7093751747018546,0.07024089246988297,0.00789137464016676,0.11254510283470154,0.8874548673629761
000020,23.27435109618239,0.40635961101861273,0.05273853987455368,0.004705057013779879,0.13394640386104584,0.866053581237793
000021,25.88510496821182,0.4920374105631551,0.038162849843502045,0.0025792266242206097,0.08844725787639618,0.9115527272224426
