Image,LPIPS
000000,0.16248100996017456
000001,0.20173415541648865
000002,0.2272496521472931
000003,0.28472501039505005
000004,0.36790740489959717
000005,0.42958033084869385
000006,0.43650221824645996
000007,0.42372962832450867
000008,0.257920503616333
000009,0.24096819758415222
000010,0.23497584462165833
000011,0.253542423248291
000012,0.4302918016910553
000013,0.14170745015144348
000014,0.09881828725337982
000015,0.14057499170303345
000016,0.2408958375453949
000017,0.14667566120624542
000018,0.1607898622751236
000019,0.15678177773952484
000020,0.3609413802623749
000021,0.26825106143951416
000022,0.26037928462028503
000023,0.28209033608436584
000024,0.4357067942619324
000025,0.30345988273620605
000026,0.2962924838066101
000027,0.29697316884994507
000028,0.4791924059391022
000029,0.22379830479621887
000030,0.2538536787033081
000031,0.2355588972568512
000032,0.22510255873203278
000033,0.2891801595687866
000034,0.3514130413532257
000035,0.283332884311676
000036,0.46832945942878723
000037,0.38588011264801025
000038,0.37688273191452026
000039,0.4102604389190674
000040,0.19111418724060059
000041,0.13436229526996613
000042,0.11940528452396393
000043,0.14056119322776794
000044,0.23748274147510529
000045,0.3720599412918091
000046,0.3375781774520874
000047,0.3999755382537842
000048,0.13785453140735626
000049,0.9004910588264465
000050,0.9143022894859314
000051,0.873807430267334
000052,0.7794176340103149
000053,0.39260461926460266
000054,0.37565213441848755
000055,0.2978799343109131
000056,0.1263611912727356
000057,0.47354477643966675
000058,0.5410276651382446
000059,0.5326422452926636
000060,0.4064704179763794
000061,0.39981186389923096
000062,0.3724457919597626
000063,0.43071624636650085
000064,0.1772516965866089
000065,0.2794331908226013
000066,0.2726743817329407
000067,0.3461255431175232
000068,0.4104297459125519
000069,0.08716293424367905
000070,0.08134524524211884
000071,0.09507669508457184
000072,0.279823362827301
000073,0.40666577219963074
000074,0.37642496824264526
000075,0.3398119807243347
000076,0.1559019833803177
000077,0.4122558832168579
000078,0.5353509783744812
000079,0.3760720193386078
000080,0.16801244020462036
000081,0.24501164257526398
000082,0.21136929094791412
000083,0.23384706676006317
000084,0.34507301449775696
000085,0.251234769821167
000086,0.2703036665916443
000087,0.2736055254936218
000088,0.14156444370746613
000089,0.15766623616218567
000090,0.18725676834583282
000091,0.17867830395698547
000092,0.3844749331474304
000093,0.3367946147918701
000094,0.291269987821579
000095,0.3331761658191681
000096,0.3066798150539398
000097,0.5283394455909729
000098,0.5216405391693115
000099,0.5238351821899414
000100,0.1481543630361557
000101,0.48489394783973694
000102,0.4649028778076172
000103,0.46022722125053406
000104,0.24631178379058838
000105,0.0670323520898819
000106,0.05056249350309372
000107,0.061553023755550385
000108,0.2639424204826355
000109,0.14356639981269836
000110,0.16924026608467102
000111,0.15638688206672668
000112,0.2916162312030792
000113,0.47130241990089417
000114,0.4759875535964966
000115,0.2962571382522583
000116,0.3813988268375397
000117,0.38159826397895813
000118,0.38088881969451904
000119,0.3756480813026428
000120,0.2302727848291397
000121,0.06979028880596161
000122,0.08320868760347366
000123,0.0691404938697815
000124,0.20557036995887756
000125,0.2464679479598999
000126,0.2494639754295349
000127,0.23701359331607819
000128,0.48072636127471924
000129,0.23165763914585114
000130,0.21509188413619995
000131,0.2280939370393753
000132,0.27343815565109253
000133,0.7308427095413208
000134,0.5422776937484741
000135,0.7177153825759888
000136,0.21663452684879303
000137,0.3352397680282593
000138,0.3324250876903534
000139,0.3017035722732544
000140,0.1397968828678131
000141,0.08525130897760391
000142,0.07754019647836685
000143,0.08381428569555283
000144,0.3980322480201721
000145,0.6388353109359741
000146,0.6303353309631348
000147,0.6344521045684814
000148,0.2685691714286804
000149,0.6270251870155334
000150,0.5690061450004578
000151,0.5874557495117188
000152,0.44962185621261597
000153,0.6429493427276611
000154,0.6026440262794495
000155,0.5485459566116333
000156,0.07274847477674484
000157,0.08905082941055298
000158,0.08871251344680786
000159,0.08945359289646149
000160,0.14548394083976746
000161,0.10556536912918091
000162,0.10926658660173416
000163,0.1217113584280014
000164,0.3893297016620636
000165,0.19920891523361206
000166,0.19481724500656128
000167,0.18747030198574066
000168,0.23244333267211914
000169,0.49067699909210205
000170,0.4521331787109375
000171,0.20245736837387085
000172,0.613624632358551
000173,0.9050516486167908
000174,0.9264758825302124
000175,0.9038593173027039
000176,0.25244957208633423
000177,0.8010753393173218
000178,0.691774845123291
000179,0.8456129431724548
000180,0.19764432311058044
000181,0.29148608446121216
000182,0.2719770073890686
000183,0.25866782665252686
000184,0.3725770115852356
000185,0.20721429586410522
000186,0.19549532234668732
000187,0.1858437955379486
000188,0.2967422604560852
000189,0.20856419205665588
000190,0.20158880949020386
000191,0.20041897892951965
000192,0.1466946005821228
000193,0.09867823868989944
000194,0.11504942178726196
000195,0.11486467719078064
000196,0.3739306926727295
000197,0.35831743478775024
000198,0.33321285247802734
000199,0.2914605736732483
000200,0.8824974894523621
000201,0.5344146490097046
000202,0.5033912062644958
000203,0.5001600384712219
000204,0.1334124207496643
000205,0.22335068881511688
000206,0.23246173560619354
000207,0.24771377444267273
000208,0.5104024410247803
000209,0.4526529312133789
000210,0.4552181363105774
000211,0.5060775279998779
000212,0.12939143180847168
000213,0.13017582893371582
000214,0.17825482785701752
000215,0.09240889549255371
000216,0.16221210360527039
000217,0.2967272400856018
000218,0.24559970200061798
000219,0.2520816922187805
000220,0.43918532133102417
000221,0.29382088780403137
000222,0.3017469048500061
000223,0.20811991393566132
000224,0.5676120519638062
000225,0.6230093836784363
000226,0.6555166244506836
000227,0.6221140623092651
000228,0.14199835062026978
000229,0.2538536489009857
000230,0.288546085357666
000231,0.2768858075141907
000232,0.3316960036754608
000233,0.3342309296131134
000234,0.3574056923389435
000235,0.34615886211395264
000236,0.22494687139987946
000237,0.29386019706726074
000238,0.2690092623233795
000239,0.32712751626968384
000240,0.22216755151748657
000241,0.05234924703836441
000242,0.05021911859512329
000243,0.04231377691030502
000244,0.2001400887966156
000245,0.20248538255691528
000246,0.14312978088855743
000247,0.16549132764339447
000248,0.2082403004169464
000249,0.23984405398368835
000250,0.23840957880020142
000251,0.22730091214179993
000252,0.3471832871437073
000253,0.23342886567115784
000254,0.2993960678577423
000255,0.244284987449646
000256,0.1857672780752182
000257,0.18052247166633606
000258,0.20175817608833313
000259,0.19191844761371613
000260,0.1968599259853363
000261,0.22060701251029968
000262,0.2039526402950287
000263,0.2013791799545288
000264,0.31300318241119385
000265,0.30031174421310425
000266,0.28039246797561646
000267,0.23051418364048004
000268,0.2412114441394806
000269,0.2546110153198242
000270,0.2787359654903412
000271,0.2611570954322815
000272,0.26400333642959595
000273,0.9159444570541382
000274,0.9115810990333557
000275,0.9402942657470703
000276,0.045696794986724854
000277,0.07708806544542313
000278,0.08502873033285141
000279,0.1294618546962738
000280,0.2788429856300354
000281,0.20663216710090637
000282,0.18807624280452728
000283,0.22199368476867676
000284,0.3495325446128845
000285,0.3878319263458252
000286,0.3734150528907776
000287,0.4283532500267029
000288,0.19913482666015625
000289,0.3668801784515381
000290,0.3439667224884033
000291,0.33112046122550964
000292,0.09866777807474136
000293,0.836854100227356
000294,0.8165979385375977
