Image,PSNR,SSIM,MAE,MSE,Edge_Error,Edge_Preservation
000000,31.26938165753713,0.8857543223964993,0.016426635906100273,0.0007465550443157554,0.0403326116502285,0.9596673846244812
000001,31.800064283029087,0.8625376445932388,0.018857832998037338,0.0006606836686842144,0.05238841474056244,0.9476115703582764
000002,32.315641890721565,0.8707710739278793,0.017740247771143913,0.0005867266445420682,0.05179598554968834,0.9482040405273438
000003,32.807853535303536,0.8780838682396412,0.016747374087572098,0.000523859285749495,0.05277692899107933,0.9472230672836304
000004,21.39066618525534,0.581058404682722,0.05903156101703644,0.007259945850819349,0.08146844059228897,0.9185315370559692
000005,28.253207367441767,0.6302674949724814,0.026799889281392097,0.0014951310586184263,0.045172691345214844,0.9548273086547852
000006,28.260907204362393,0.6213059509508013,0.026664070785045624,0.0014924826100468636,0.04555034637451172,0.9544496536254883
000007,28.211947926050374,0.6322097751929071,0.02677806280553341,0.0015094029949977994,0.04592440649867058,0.9540755748748779
000008,21.936169023961494,0.6930280352454725,0.05667821317911148,0.00640299404039979,0.08333917707204819,0.9166608452796936
000009,23.80716337585889,0.7178057461563945,0.042026422917842865,0.00416182354092598,0.0564090870320797,0.9435909390449524
000010,24.66494697375674,0.7312142800505049,0.038098953664302826,0.0034159012138843536,0.04802050441503525,0.9519795179367065
000011,23.95360532947546,0.7254911857486116,0.0417434424161911,0.0040238285437226295,0.06185461953282356,0.9381453990936279
000012,30.594337690299874,0.728484903238058,0.02186787687242031,0.0008720998885110021,0.051044367253780365,0.9489556550979614
000013,24.634437472721547,0.8978040897107721,0.026413165032863617,0.0034399826545268297,0.02988533303141594,0.9701146483421326
000014,25.863033784780576,0.9190367706083059,0.021492276340723038,0.0025923678185790777,0.023181427270174026,0.9768185615539551
000015,24.276857287839455,0.8905837275726143,0.02700907364487648,0.003735203528776765,0.029035188257694244,0.970964789390564
000016,28.095071517061957,0.779932969948031,0.027523018419742584,0.001550575252622366,0.028351696208119392,0.9716482758522034
000017,23.89750213287639,0.8313920485535804,0.047235723584890366,0.004076146520674229,0.08013663440942764,0.9198633432388306
000018,24.099826316518666,0.830858879188113,0.04669653996825218,0.003890607040375471,0.08300107717514038,0.9169989228248596
000019,23.895802688155108,0.8316748468968962,0.04752487316727638,0.004077741876244545,0.07399127632379532,0.9260087013244629
000020,31.453233585103813,0.8235712083731219,0.020193764939904213,0.0007156103965826333,0.057094790041446686,0.9429051876068115
000021,31.641828436343996,0.8820525445774794,0.015839174389839172,0.0006851996877230704,0.023685162886977196,0.9763148427009583
000022,31.590334542818468,0.8798177775228023,0.01582605391740799,0.0006933723925612867,0.021409207955002785,0.9785907864570618
000023,31.970045876220254,0.8844633701415994,0.015025275759398937,0.0006353242206387222,0.020872069522738457,0.9791279435157776
000024,19.79332167444266,0.5751178986085989,0.07622838020324707,0.010487399995326996,0.09922929108142853,0.9007707238197327
000025,22.663615778420535,0.7061110763134509,0.047941844910383224,0.005415498279035091,0.06487147510051727,0.9351285099983215
000026,22.82039827085038,0.7066897081311941,0.047059234231710434,0.005223482847213745,0.06398949772119522,0.936010479927063
000027,22.63025080900631,0.6997702393285334,0.04813582822680473,0.0054572634398937225,0.06548093259334564,0.9345190525054932
000028,28.18728352027723,0.672049391838342,0.029470734298229218,0.0015179995680227876,0.05544377863407135,0.9445562362670898
000029,25.22199328385217,0.7620909180103231,0.03853999823331833,0.0030046969186514616,0.048980336636304855,0.9510196447372437
000030,25.90377143437226,0.7642919976604171,0.03440844640135765,0.0025681646075099707,0.04617917165160179,0.9538208246231079
000031,25.39694865575056,0.7679797989749562,0.03775326535105705,0.0028860585298389196,0.048617735505104065,0.9513822793960571
000032,30.61162433087246,0.8735574742173814,0.017345432192087173,0.0008686354849487543,0.016330605372786522,0.9836694002151489
000033,24.416045194827213,0.6466611196798044,0.03782506287097931,0.003617391223087907,0.05583486706018448,0.9441651105880737
000034,24.784412484215167,0.5988251410794733,0.037108175456523895,0.003323217388242483,0.05501057207584381,0.9449894428253174
000035,24.390154433128743,0.6491530515448397,0.03789735585451126,0.0036390209570527077,0.05532598868012428,0.944674015045166
000036,29.364932089199456,0.7767445809366841,0.018840618431568146,0.0011574621312320232,0.018977435305714607,0.9810225367546082
000037,26.12093963099195,0.5489963108605593,0.038291241973638535,0.0024429019540548325,0.08291906118392944,0.9170809388160706
000038,26.00352139190775,0.5608116170242057,0.03892318159341812,0.0025098505429923534,0.08118537068367004,0.9188146591186523
000039,26.02838085633185,0.5465318546346924,0.038594942539930344,0.002495524939149618,0.08472878485918045,0.9152712225914001
000040,25.294129971204676,0.7777303221028773,0.039001040160655975,0.0029552008491009474,0.06381619721651077,0.9361838102340698
000041,25.870534419036574,0.8544436715345383,0.03715114668011665,0.002587894443422556,0.058532871305942535,0.9414671063423157
000042,24.961504154688253,0.8424114156558961,0.0407046414911747,0.0031904326751828194,0.054733119904994965,0.9452669024467468
000043,25.84722084176237,0.8526616028683186,0.03649824857711792,0.002601824002340436,0.051452912390232086,0.9485470652580261
000044,19.465026368513207,0.7306259318546131,0.06883947551250458,0.01131090521812439,0.09434697777032852,0.9056529998779297
000045,23.876638518397797,0.6743370423314645,0.04816295579075813,0.004095775540918112,0.07089678943157196,0.9291031956672668
000046,23.74029588454033,0.6904762467015311,0.04876159876585007,0.004226398188620806,0.0716928094625473,0.9283071756362915
000047,23.5223902559815,0.6662199945660814,0.050417013466358185,0.004443866200745106,0.0747305154800415,0.9252694845199585
000048,30.515527843128503,0.9011898019889891,0.013316836208105087,0.0008880700333975255,0.014002645388245583,0.9859973788261414
000049,17.479520111177486,0.24256679353539654,0.10350623726844788,0.017866849899291992,0.14453008770942688,0.8554699420928955
