Image,Frequency_Correlation,Frequency_MAE,Frequency_RMSE
000000,0.5959892868995667,0.020070884376764297,0.03408525139093399
000001,0.3881816267967224,0.031392715871334076,0.042598906904459
000002,0.4274982511997223,0.02764766477048397,0.037599433213472366
000003,0.46227794885635376,0.024269863963127136,0.032812438905239105
000004,0.4873497486114502,0.06605590879917145,0.09212519973516464
000005,0.46402639150619507,0.03089778870344162,0.041914038360118866
000006,0.45926618576049805,0.03029521554708481,0.04135311022400856
000007,0.46344316005706787,0.030868425965309143,0.04223107546567917
000008,0.5580956339836121,0.06889665871858597,0.09062124043703079
000009,0.4642672538757324,0.06090623140335083,0.08112096786499023
000010,0.4220464527606964,0.060262881219387054,0.07990561425685883
000011,0.5167412161827087,0.056306879967451096,0.07575181871652603
000012,0.37810319662094116,0.02869420312345028,0.040471650660037994
000013,0.3706156313419342,0.07159362733364105,0.09166624397039413
000014,0.39146342873573303,0.06487076729536057,0.08323626220226288
000015,0.42494186758995056,0.06551967561244965,0.08627978712320328
000016,0.37500447034835815,0.06426787376403809,0.07963541150093079
000017,0.7010042071342468,0.05896783247590065,0.07461858540773392
000018,0.6806076765060425,0.062388330698013306,0.07853792607784271
000019,0.6990690231323242,0.059722594916820526,0.07548364251852036
000020,0.19479426741600037,0.04458937048912048,0.058010589331388474
000021,0.45673251152038574,0.03243422880768776,0.04324391856789589
000022,0.4378146231174469,0.032910700887441635,0.043906353414058685
000023,0.45982733368873596,0.030911313369870186,0.04120471328496933
000024,0.49461689591407776,0.0773690864443779,0.10450967401266098
000025,0.6074506044387817,0.04733703285455704,0.07221657037734985
000026,0.6093930602073669,0.04644341394305229,0.07132019102573395
000027,0.595854640007019,0.04783108830451965,0.07275339215993881
000028,0.31502488255500793,0.052134547382593155,0.06590405851602554
000029,0.5120244026184082,0.0567273274064064,0.07477030903100967
000030,0.5498033165931702,0.04774991795420647,0.06438880413770676
000031,0.5327739119529724,0.054364025592803955,0.0719536542892456
000032,0.3312072455883026,0.046719714999198914,0.061236392706632614
000033,0.5905721187591553,0.060175083577632904,0.08147913217544556
000034,0.5740700960159302,0.059158895164728165,0.07925308495759964
000035,0.5620526075363159,0.06604813784360886,0.08856956660747528
000036,0.22607313096523285,0.04033265262842178,0.055353306233882904
000037,0.36664971709251404,0.05461425706744194,0.07020041346549988
000038,0.3254460096359253,0.06119419261813164,0.07828821986913681
000039,0.39934760332107544,0.05007414519786835,0.0646313950419426
000040,0.5331733226776123,0.05305424705147743,0.0704919770359993
000041,0.7511458992958069,0.04335034638643265,0.05886628478765488
000042,0.6964606642723083,0.04976736381649971,0.06857441365718842
000043,0.751358151435852,0.04285581037402153,0.05895283818244934
000044,0.6886076331138611,0.07152149081230164,0.10319670289754868
000045,0.5916427969932556,0.05443721264600754,0.07114531099796295
000046,0.6159863471984863,0.05472533777356148,0.07144355028867722
000047,0.6016950011253357,0.05510601028800011,0.07191474735736847
000048,0.3894754648208618,0.02201494760811329,0.04363781213760376
000049,0.2668735086917877,0.1094495952129364,0.14112107455730438
000050,0.26884856820106506,0.11074098199605942,0.14235052466392517
000051,0.2525225579738617,0.11329124122858047,0.1458672136068344
000052,0.20509882271289825,0.060373976826667786,0.07574154436588287
000053,0.606185257434845,0.04281500726938248,0.05971584841609001
000054,0.5819649696350098,0.04330921173095703,0.059660669416189194
000055,0.5907617211341858,0.03761237859725952,0.05375230312347412
000056,0.727301836013794,0.03320186585187912,0.0499972440302372
000057,0.10664380341768265,0.049622997641563416,0.06412117928266525
000058,0.13524311780929565,0.04134586453437805,0.0532747320830822
000059,0.11488988995552063,0.04797408729791641,0.061866793781518936
000060,0.47129297256469727,0.051641613245010376,0.06752049177885056
000061,0.23966369032859802,0.04304782301187515,0.05538492277264595
000062,0.22290468215942383,0.045362893491983414,0.05857868865132332
000063,0.20129787921905518,0.047213345766067505,0.060588009655475616
000064,0.4752514064311981,0.04838736355304718,0.06190739572048187
000065,0.4772682785987854,0.04347314313054085,0.05741012096405029
000066,0.49741989374160767,0.04145355522632599,0.05495038628578186
000067,0.5510761737823486,0.04356043040752411,0.058033306151628494
000068,0.4238080680370331,0.04450496286153793,0.059745874255895615
000069,0.6624643206596375,0.01744360662996769,0.02776380628347397
000070,0.6689180135726929,0.017985761165618896,0.02909725159406662
000071,0.6758421659469604,0.016893425956368446,0.027531474828720093
000072,0.6407480239868164,0.0412643700838089,0.0599268302321434
000073,0.5716409683227539,0.04832527041435242,0.06588257104158401
000074,0.6048035621643066,0.04960224777460098,0.06741703301668167
000075,0.5369433760643005,0.05661853030323982,0.07719297707080841
000076,0.4164585769176483,0.029079219326376915,0.04254584014415741
000077,0.35217541456222534,0.020479615777730942,0.028560589998960495
000078,0.30318331718444824,0.029485154896974564,0.03873669356107712
000079,0.3024536073207855,0.021787432953715324,0.029729394242167473
000080,0.42698830366134644,0.05982084572315216,0.0785188227891922
000081,0.562821626663208,0.03289417922496796,0.052687227725982666
000082,0.5366457104682922,0.03358004614710808,0.053716208785772324
000083,0.5342501997947693,0.03274054080247879,0.053019020706415176
000084,0.5506799817085266,0.05352655425667763,0.0757572129368782
000085,0.531551718711853,0.08077746629714966,0.10833792388439178
000086,0.592330276966095,0.08163031190633774,0.11249494552612305
000087,0.5934495329856873,0.07732199877500534,0.1065698117017746
000088,0.09263249486684799,0.04973963648080826,0.06972774118185043
000089,0.34725797176361084,0.046968426555395126,0.061605069786310196
000090,0.4014211595058441,0.039339836686849594,0.05155425891280174
000091,0.3808756172657013,0.04112862050533295,0.054032422602176666
000092,0.5164024829864502,0.042453981935977936,0.056590694934129715
000093,0.3794657588005066,0.01726347580552101,0.025264814496040344
000094,0.4354454576969147,0.020260129123926163,0.0300272349268198
000095,0.4080359935760498,0.016816506162285805,0.02461581490933895
000096,0.5751292705535889,0.07082510739564896,0.0976196825504303
000097,0.33425137400627136,0.03637013956904411,0.048640668392181396
000098,0.30497753620147705,0.03607615828514099,0.04793364554643631
000099,0.3164787292480469,0.036823876202106476,0.049231939017772675
000100,0.36953359842300415,0.03176504373550415,0.046567052602767944
000101,0.0890304297208786,0.04069066792726517,0.053655222058296204
000102,0.07383404672145844,0.047720395028591156,0.06254617869853973
000103,0.07574828714132309,0.04476118087768555,0.05859750136733055
000104,0.45793506503105164,0.054829858243465424,0.07171952724456787
000105,0.5047098994255066,0.022396650165319443,0.035103846341371536
000106,0.5672377347946167,0.018073832616209984,0.02817385271191597
000107,0.5010309815406799,0.021671926602721214,0.034698985517024994
000108,0.568021833896637,0.07922866940498352,0.11544396728277206
000109,0.7194148302078247,0.048166535794734955,0.07938782870769501
000110,0.7204384207725525,0.03923735022544861,0.06778120249509811
000111,0.7114063501358032,0.038951121270656586,0.06707524508237839
000112,0.5694692134857178,0.04077502712607384,0.057939525693655014
000113,0.22155894339084625,0.04627569764852524,0.06039724126458168
000114,0.20084789395332336,0.05074042081832886,0.06627380102872849
000115,0.2801300287246704,0.057361528277397156,0.07178618013858795
000116,0.5407419800758362,0.04791131243109703,0.06287063658237457
000117,0.5696694850921631,0.04109751805663109,0.05506747588515282
000118,0.5857542753219604,0.03970123827457428,0.053311195224523544
000119,0.5227903723716736,0.043517474085092545,0.0580870620906353
000120,0.4336124062538147,0.04964563995599747,0.06640399247407913
000121,0.6043508648872375,0.02235076017677784,0.03713422641158104
000122,0.48506268858909607,0.03211037069559097,0.051337942481040955
000123,0.5667476654052734,0.02927175909280777,0.04699258506298065
000124,0.6613436937332153,0.04591408371925354,0.0722760558128357
000125,0.7111729979515076,0.034492649137973785,0.0512467660009861
000126,0.7445386052131653,0.031626760959625244,0.047686442732810974
000127,0.726973831653595,0.032878853380680084,0.05035128816962242
000128,0.05195405334234238,0.05312595143914223,0.06872876733541489
000129,0.6832325458526611,0.05395277217030525,0.07063234597444534
000130,0.7235435843467712,0.049101125448942184,0.06482358276844025
000131,0.7321085333824158,0.04756668210029602,0.06295554339885712
000132,0.23968227207660675,0.060716744512319565,0.07622738927602768
000133,0.32967719435691833,0.06951550394296646,0.08797981590032578
000134,0.33280661702156067,0.03687267005443573,0.05222088843584061
000135,0.33347633481025696,0.07189885526895523,0.09119842946529388
000136,0.6403690576553345,0.02687673456966877,0.043843675404787064
000137,0.6022527813911438,0.024948397651314735,0.036147311329841614
000138,0.5760496258735657,0.025634199380874634,0.03745044022798538
000139,0.5612467527389526,0.02476412057876587,0.036714106798172
000140,0.5914279818534851,0.06370759755373001,0.08761341869831085
000141,0.7424756288528442,0.05381434038281441,0.07297384738922119
000142,0.7354573607444763,0.054237980395555496,0.07347167283296585
000143,0.717055082321167,0.05780048668384552,0.07762976735830307
000144,0.4679259955883026,0.04060392454266548,0.05429883673787117
000145,0.09412627667188644,0.042023368179798126,0.05546054244041443
000146,0.08456388115882874,0.049223922193050385,0.0650722086429596
000147,0.08880894631147385,0.042894147336483,0.05664006620645523
000148,0.47604089975357056,0.05457921326160431,0.07365717738866806
000149,0.19292892515659332,0.05065666511654854,0.06469129770994186
000150,0.1555292159318924,0.059480711817741394,0.07616151869297028
000151,0.16389808058738708,0.058504633605480194,0.07455479353666306
000152,0.44496214389801025,0.05535797402262688,0.07762426882982254
000153,0.13626772165298462,0.044845402240753174,0.058962538838386536
000154,0.10273884236812592,0.0531885027885437,0.06828484684228897
000155,0.1219058409333229,0.04533987492322922,0.061685655266046524
000156,0.7597965598106384,0.04335445165634155,0.06401004642248154
000157,0.7731361389160156,0.015376996248960495,0.02704085409641266
000158,0.7874376177787781,0.013922103680670261,0.024557359516620636
000159,0.801611602306366,0.012503975071012974,0.023855336010456085
000160,0.6763535141944885,0.027464359998703003,0.037837766110897064
000161,0.5735906958580017,0.03014496900141239,0.04277955740690231
000162,0.5628859996795654,0.0317605584859848,0.045619163662195206
000163,0.622035801410675,0.027051180601119995,0.03845867142081261
000164,0.5350795984268188,0.053089018911123276,0.06786263734102249
000165,0.3781377375125885,0.043331436812877655,0.055855799466371536
000166,0.35412439703941345,0.04289254546165466,0.05588316544890404
000167,0.33977439999580383,0.04054395109415054,0.052591726183891296
000168,0.5121409893035889,0.06200217083096504,0.08172750473022461
000169,0.17045946419239044,0.05293983966112137,0.0663827583193779
000170,0.12420244514942169,0.0594535693526268,0.07404196262359619
000171,0.38939619064331055,0.0303592998534441,0.040374211966991425
000172,0.28919264674186707,0.07322652637958527,0.09090131521224976
000173,0.16770775616168976,0.06808839738368988,0.08683695644140244
000174,0.19929435849189758,0.059533171355724335,0.07580790668725967
000175,0.17437121272087097,0.06450045853853226,0.08251006156206131
000176,0.5292097330093384,0.047989483922719955,0.06683021038770676
000177,0.15063565969467163,0.06251540035009384,0.07985692471265793
000178,0.09081736952066422,0.059510305523872375,0.07412580400705338
000179,0.20112469792366028,0.052793197333812714,0.06734894961118698
000180,0.581423819065094,0.011094915680587292,0.0213637612760067
000181,0.589963436126709,0.030663952231407166,0.044143810868263245
000182,0.5718122720718384,0.03099677339196205,0.04665471613407135
000183,0.5898686647415161,0.03323995694518089,0.04892727732658386
000184,0.47085994482040405,0.05799349769949913,0.07505865395069122
000185,0.5617135763168335,0.02066369727253914,0.03042411059141159
000186,0.5259204506874084,0.023214997723698616,0.03540721535682678
000187,0.49233031272888184,0.02436111494898796,0.03697148710489273
000188,0.5806459784507751,0.04195712134242058,0.061396606266498566
000189,0.669389545917511,0.041593652218580246,0.06158241629600525
000190,0.6660239696502686,0.040546514093875885,0.05964380502700806
000191,0.6605165600776672,0.041186440736055374,0.05991297960281372
000192,0.293111115694046,0.05573184788227081,0.07244248688220978
000193,0.778578519821167,0.029347635805606842,0.047166332602500916
000194,0.7959545850753784,0.0262739360332489,0.04271294176578522
000195,0.8054909110069275,0.024741262197494507,0.04086993634700775
000196,0.5802030563354492,0.05028538033366203,0.0655774399638176
000197,0.45715028047561646,0.04330223426222801,0.05536545813083649
000198,0.40856683254241943,0.04918607324361801,0.06271860748529434
000199,0.3863922953605652,0.051785241812467575,0.06612473726272583
000200,0.19256053864955902,0.0471215546131134,0.061545033007860184
000201,0.045808155089616776,0.05351481959223747,0.07277562469244003
000202,0.04699179530143738,0.05138908699154854,0.07037732005119324
000203,0.053849611431360245,0.046027276664972305,0.06314793229103088
000204,0.520787239074707,0.05034705623984337,0.07319711893796921
000205,0.5488836765289307,0.06037658452987671,0.08341846615076065
000206,0.5641480684280396,0.06602081656455994,0.09145815670490265
000207,0.5777058601379395,0.0595184750854969,0.08500124514102936
000208,0.11124797910451889,0.0440625362098217,0.05833915248513222
000209,0.1018071398139,0.04905575513839722,0.06472789496183395
000210,0.1139003112912178,0.04609571024775505,0.060940973460674286
000211,0.16430030763149261,0.03907773271203041,0.05205300822854042
000212,0.6092347502708435,0.02517039328813553,0.04169827699661255
000213,0.21224693953990936,0.026875188574194908,0.03945894166827202
000214,0.15801329910755157,0.031709667295217514,0.04387247562408447
000215,0.2279573529958725,0.027946114540100098,0.038465410470962524
000216,0.7412365674972534,0.019161447882652283,0.03132447227835655
000217,0.5080492496490479,0.03240709751844406,0.044492509216070175
000218,0.3637601435184479,0.042944565415382385,0.05799828842282295
000219,0.41353094577789307,0.03833901509642601,0.05131419748067856
000220,0.13417670130729675,0.031440503895282745,0.041933730244636536
000221,0.558125913143158,0.053912773728370667,0.07661186158657074
000222,0.5743245482444763,0.046100348234176636,0.06680727750062943
000223,0.6688092350959778,0.05980823189020157,0.08612105995416641
000224,0.4065091013908386,0.05289169028401375,0.07090476900339127
000225,0.35012003779411316,0.039605241268873215,0.051409028470516205
000226,0.3261600732803345,0.047459524124860764,0.06120014935731888
000227,0.29869332909584045,0.046542562544345856,0.06033111363649368
000228,0.6953381896018982,0.08468082547187805,0.12459836155176163
000229,0.6743903756141663,0.06945241987705231,0.09221284836530685
