Metric,Bicubic,Model1,Improvement,Improvement_Type
PSNR,23.328263543448983,28.040081804706354,4.7118182612573705,Absolute gain (dB)
SSIM,0.5526924031760432,0.7530848513725393,0.20039244819649615,Absolute gain
MAE,0.053209583844790374,0.03147182104203423,40.85309681459657,Percent reduction
MSE,0.006027203379693403,0.0028277774331221337,53.08309252265552,Percent reduction
Edge_Error,0.099163365371732,0.0614644580573687,38.01697045379819,Percent reduction
Edge_Preservation,0.9008366351380624,0.9385355417667588,0.03769890662869635,Absolute gain
