Image,Frequency_Correlation,Frequency_MAE,Frequency_RMSE
000000,0.7586735486984253,0.012108651921153069,0.019506119191646576
000001,0.6736236214637756,0.011854655109345913,0.016116837039589882
000002,0.7006674408912659,0.011509127914905548,0.0155839454382658
000003,0.7105443477630615,0.010836762376129627,0.014702169224619865
000004,0.5609676837921143,0.055269721895456314,0.07974940538406372
000005,0.5048651695251465,0.023675918579101562,0.034970905631780624
000006,0.49568063020706177,0.02361873723566532,0.03493495658040047
000007,0.5047414898872375,0.02357899397611618,0.03506199270486832
000008,0.6680670976638794,0.049390148371458054,0.07142796367406845
000009,0.6312031745910645,0.03469853848218918,0.057467225939035416
000010,0.6256808042526245,0.030193408951163292,0.05097667872905731
000011,0.6558309197425842,0.035054489970207214,0.05727529525756836
000012,0.5401002168655396,0.017871927469968796,0.023754945024847984
000013,0.6225925087928772,0.020134417340159416,0.05388184264302254
000014,0.6608620882034302,0.016258738934993744,0.04686092957854271
000015,0.633525013923645,0.02202378585934639,0.05674738436937332
000016,0.7862278819084167,0.01754133775830269,0.027209259569644928
000017,0.8283393979072571,0.03787805885076523,0.052573978900909424
000018,0.8344833850860596,0.03702051192522049,0.050859030336141586
000019,0.8336829543113708,0.037705954164266586,0.05192985385656357
000020,0.49497735500335693,0.0104959886521101,0.014097850769758224
000021,0.7362086772918701,0.011538955383002758,0.020889071747660637
000022,0.7248722314834595,0.011677147820591927,0.021200502291321754
000023,0.7428404092788696,0.011394043453037739,0.02052389271557331
000024,0.512241005897522,0.07072082906961441,0.0947834774851799
000025,0.6221336722373962,0.044811174273490906,0.06882291287183762
000026,0.6245056390762329,0.04408642649650574,0.06786095350980759
000027,0.6117218136787415,0.04479886591434479,0.06873183697462082
000028,0.5972504615783691,0.020252708345651627,0.02794659696519375
000029,0.7200201153755188,0.029481947422027588,0.043968040496110916
000030,0.7124777436256409,0.027218934148550034,0.042610447853803635
000031,0.7289924621582031,0.02885129489004612,0.04327161982655525
000032,0.7593540549278259,0.010795833542943,0.02331388369202614
000033,0.7950537204742432,0.032425373792648315,0.05262616276741028
000034,0.7887901067733765,0.031549904495477676,0.05019379407167435
000035,0.8020296096801758,0.03221506252884865,0.05259751155972481
000036,0.47923049330711365,0.015128753148019314,0.0299727451056242
000037,0.503702700138092,0.029205594211816788,0.0384385772049427
000038,0.484831839799881,0.029257703572511673,0.0383976511657238
000039,0.5020291209220886,0.029597420245409012,0.039182066917419434
000040,0.701070249080658,0.029662935063242912,0.044054266065359116
000041,0.8544148206710815,0.031065909191966057,0.043114591389894485
000042,0.832739531993866,0.03384450078010559,0.04737623408436775
000043,0.8548189997673035,0.03090863861143589,0.04352376237511635
000044,0.7026225328445435,0.06484793871641159,0.09991870820522308
000045,0.6832789778709412,0.03867681324481964,0.05269213765859604
000046,0.7033770680427551,0.039701465517282486,0.054038044065237045
000047,0.675270676612854,0.04103399068117142,0.055379126220941544
000048,0.6395069360733032,0.011070044711232185,0.02544274553656578
000049,0.2794336974620819,0.09953264892101288,0.12770603597164154
000050,0.2842349410057068,0.099736787378788,0.1281152218580246
000051,0.2741105258464813,0.10103201121091843,0.13029798865318298
000052,0.15031558275222778,0.03526400774717331,0.04431693255901337
000053,0.7170371413230896,0.032217685133218765,0.046083055436611176
000054,0.7042781114578247,0.031177811324596405,0.04415504261851311
000055,0.7321536540985107,0.026022475212812424,0.0382518395781517
000056,0.8298887610435486,0.02214966155588627,0.036711446940898895
000057,0.1343058943748474,0.01794242486357689,0.022537436336278915
000058,0.1514802873134613,0.017646318301558495,0.02216281369328499
000059,0.13432510197162628,0.017842242494225502,0.022401457652449608
000060,0.6647325158119202,0.025959517806768417,0.03665576130151749
000061,0.4991470277309418,0.014238364063203335,0.020118985325098038
000062,0.46217456459999084,0.015039732679724693,0.021295741200447083
000063,0.42913132905960083,0.01384502463042736,0.020034529268741608
000064,0.7763703465461731,0.015399258583784103,0.028703656047582626
000065,0.6577271819114685,0.023822776973247528,0.03413158655166626
000066,0.6816819310188293,0.023318128660321236,0.033445484936237335
000067,0.6868454217910767,0.028164155781269073,0.040416255593299866
000068,0.6818549036979675,0.019995534792542458,0.030975166708230972
000069,0.8030858635902405,0.010690747760236263,0.01875193603336811
000070,0.8249915242195129,0.010719911195337772,0.018648099154233932
000071,0.8117584586143494,0.010458006523549557,0.01835954748094082
000072,0.7195874452590942,0.03179147467017174,0.04737667366862297
000073,0.661166787147522,0.03527110442519188,0.04927503317594528
000074,0.6933027505874634,0.03623539209365845,0.050715766847133636
000075,0.6730049252510071,0.037001997232437134,0.05209161341190338
000076,0.8000636696815491,0.010533423162996769,0.014899171888828278
000077,0.5329508185386658,0.013368603773415089,0.017315058037638664
000078,0.43051743507385254,0.02094666287302971,0.02645770087838173
000079,0.46681681275367737,0.013647107407450676,0.017539164051413536
000080,0.6746150851249695,0.02276550978422165,0.04802633821964264
000081,0.6379020810127258,0.02549043297767639,0.04559220373630524
000082,0.6345810294151306,0.024921251460909843,0.044521912932395935
000083,0.62788325548172,0.024489562958478928,0.04426732286810875
000084,0.6280511617660522,0.04578503221273422,0.06647832691669464
000085,0.6277469992637634,0.05294410511851311,0.08871147036552429
000086,0.6327703595161438,0.06675009429454803,0.1029602438211441
000087,0.6359572410583496,0.06134862080216408,0.0970292016863823
000088,0.6265729069709778,0.005027248058468103,0.007319445721805096
000089,0.7071924209594727,0.014832863584160805,0.01990557089447975
000090,0.7453702092170715,0.013406929560005665,0.018193142488598824
000091,0.7362069487571716,0.013409987092018127,0.018182095140218735
000092,0.5928612351417542,0.031572166830301285,0.04288972169160843
000093,0.6123489737510681,0.010699491016566753,0.014645401388406754
000094,0.6336067914962769,0.012552490457892418,0.018169332295656204
000095,0.6218081116676331,0.010653807781636715,0.014526830986142159
000096,0.643225908279419,0.05781213939189911,0.08370207250118256
000097,0.511824905872345,0.02246830239892006,0.0301524568349123
000098,0.4825548529624939,0.022050896659493446,0.02955329231917858
000099,0.5035073757171631,0.022512003779411316,0.03021557256579399
000100,0.7380971908569336,0.011426606215536594,0.019852977246046066
000101,0.1459854245185852,0.011761801317334175,0.014850328676402569
000102,0.11855337023735046,0.012542921118438244,0.015910057350993156
000103,0.12285154312849045,0.012454204261302948,0.01575097255408764
000104,0.7828319072723389,0.020432377234101295,0.03087463229894638
000105,0.858063817024231,0.007728357799351215,0.01177564263343811
000106,0.8665667176246643,0.006913132965564728,0.010775729082524776
000107,0.8380975127220154,0.007847567088901997,0.012574614956974983
000108,0.6112691164016724,0.0735803097486496,0.1083533838391304
000109,0.7883710861206055,0.040229879319667816,0.06966295838356018
000110,0.789830207824707,0.03400695323944092,0.05943102017045021
000111,0.7857913970947266,0.033468540757894516,0.05827369540929794
000112,0.697348415851593,0.029138736426830292,0.04382540285587311
000113,0.5580021142959595,0.01545178983360529,0.01983712427318096
000114,0.5180871486663818,0.016442181542515755,0.021195588633418083
000115,0.6611771583557129,0.01114717684686184,0.026042167097330093
000116,0.6583375334739685,0.032870858907699585,0.04573709890246391
000117,0.6407278180122375,0.03175138309597969,0.04306773841381073
000118,0.6450034379959106,0.031585097312927246,0.04291239753365517
000119,0.6034529805183411,0.0313873365521431,0.04273419454693794
000120,0.7609056830406189,0.015944328159093857,0.0318656787276268
000121,0.8966267704963684,0.008597916923463345,0.015471599996089935
000122,0.8586010336875916,0.01057067234069109,0.01875840499997139
000123,0.8840535879135132,0.010782952420413494,0.01926378533244133
000124,0.7351502776145935,0.033293742686510086,0.06293193250894547
000125,0.8032002449035645,0.025076767429709435,0.038806334137916565
000126,0.8060563206672668,0.024775730445981026,0.03881398215889931
000127,0.8082370758056641,0.024464519694447517,0.03890921175479889
000128,0.07153654843568802,0.013122166506946087,0.016504157334566116
000129,0.7410290241241455,0.04527612403035164,0.05912485718727112
000130,0.7639560103416443,0.043050650507211685,0.056770239025354385
000131,0.7614750266075134,0.0431840643286705,0.05686319246888161
000132,0.687694251537323,0.010345201008021832,0.022035300731658936
000133,0.29352080821990967,0.05732503905892372,0.07195917516946793
000134,0.4597555994987488,0.028851866722106934,0.04118813946843147
000135,0.31732723116874695,0.059466950595378876,0.07471063733100891
000136,0.7440201640129089,0.01889759860932827,0.032726455479860306
000137,0.6415229439735413,0.023507121950387955,0.03356752172112465
000138,0.6134364604949951,0.02389717660844326,0.034583572298288345
000139,0.6110554933547974,0.02273804135620594,0.03320751339197159
000140,0.8061666488647461,0.03477154299616814,0.056753385812044144
000141,0.8845904469490051,0.03080933168530464,0.04783099889755249
000142,0.8847680687904358,0.0304565466940403,0.04739729315042496
000143,0.8807514309883118,0.03185858950018883,0.04862551391124725
000144,0.5790556073188782,0.02678317204117775,0.0380791537463665
000145,0.10056799650192261,0.020816277712583542,0.026142550632357597
000146,0.091940738260746,0.020942138507962227,0.02627515234053135
000147,0.09330427646636963,0.02058892510831356,0.025846609845757484
000148,0.6829861402511597,0.02966292016208172,0.045565344393253326
000149,0.2997756600379944,0.02513747662305832,0.03240036964416504
000150,0.28263431787490845,0.025008458644151688,0.03225337341427803
000151,0.2901487350463867,0.025170359760522842,0.032468587160110474
000152,0.5117226839065552,0.044678978621959686,0.06450743228197098
000153,0.259272962808609,0.02072758786380291,0.026127003133296967
000154,0.24259917438030243,0.01670713908970356,0.02120911329984665
000155,0.23847422003746033,0.019693003967404366,0.024974392727017403
000156,0.8921284079551697,0.026846282184123993,0.041964057832956314
000157,0.8445636034011841,0.009428804740309715,0.02191457711160183
000158,0.8432527184486389,0.008696741424500942,0.020823681727051735
000159,0.8530009388923645,0.00830993801355362,0.020408406853675842
000160,0.8643237948417664,0.015147341415286064,0.02042362466454506
